userid,id,rating,timestamp
1,253,3.0,900660748
1,1387,3.0,900660748
1,1407,5.0,900660871
1,1717,5.0,900660871
1,1876,3.0,900660543
1,1882,3.0,900660584
1,1895,4.0,900660518
1,1909,3.0,900660468
1,1911,3.0,900660543
1,1917,4.0,900660518
1,1918,4.0,900660518
1,1982,5.0,900660748
1,1983,5.0,900660951
1,2000,4.0,900661051
1,2001,4.0,900661051
1,2002,4.0,900661051
1,2003,2.0,900660748
2,1,5.0,1084988984
2,32,4.5,1084986679
2,48,2.0,1084986403
2,50,5.0,1084990478
2,110,4.5,1084990717
2,150,4.0,1084988964
2,153,2.0,1084986659
2,158,2.0,1084986410
2,163,4.0,1084989441
2,165,3.5,1084990475
2,174,1.0,1084989884
2,180,5.0,1084986507
2,181,0.5,1084988722
2,223,4.0,1084989429
2,253,4.5,1084990450
2,260,5.0,1084987423
2,293,5.0,1084986654
2,296,5.0,1084990706
2,317,1.5,1084986581
2,318,5.0,1084988956
2,329,2.0,1084988959
2,333,4.0,1084989416
2,344,3.0,1084990458
2,355,0.5,1084987767
2,356,5.0,1084990708
2,367,2.0,1084989414
2,377,3.5,1084990455
2,379,1.0,1084986880
2,380,4.5,1084988954
2,393,0.5,1084987205
2,457,4.5,1084990716
2,480,4.0,1084990709
2,485,3.5,1084987756
2,520,3.0,1084989397
2,527,5.0,1084987414
2,587,2.0,1084990439
2,589,5.0,1084990428
2,592,5.0,1084988973
2,593,5.0,1084988970
2,608,4.5,1084990445
2,648,3.0,1084990432
2,733,4.5,1084989375
2,737,0.5,1084989383
2,743,0.5,1084987754
2,780,1.0,1084988947
2,785,3.5,1084986417
2,786,1.0,1084989380
2,808,1.0,1084989868
2,810,0.5,1084989863
2,830,1.5,1084986867
2,861,2.5,1084988702
2,1004,2.0,1084988687
2,1036,5.0,1084987399
2,1089,5.0,1084986637
2,1097,3.5,1084990440
2,1131,5.0,1084987727
2,1132,5.0,1084988691
2,1196,5.0,1084988936
2,1198,5.0,1084986624
2,1200,5.0,1084989368
2,1206,3.5,1084990419
2,1210,4.0,1084990721
2,1214,4.0,1084990405
2,1218,4.0,1084988678
2,1222,4.0,1084986593
2,1224,3.5,1084986846
2,1225,4.5,1084986607
2,1240,5.0,1084986609
2,1262,4.5,1084990409
2,1274,4.0,1084986532
2,1291,4.5,1084987373
2,1293,4.5,1084989321
2,1320,3.5,1084989326
2,1380,0.5,1084989334
2,1407,4.5,1084989318
2,1408,5.0,1084989347
2,1411,2.5,1084989344
2,1485,2.5,1084989329
2,1499,0.5,1084987705
2,1515,1.5,1084986829
2,1544,3.5,1084987708
2,1562,0.5,1084986827
2,1573,0.5,1084987710
2,1584,3.0,1084986618
2,1610,5.0,1084989303
2,1653,5.0,1084986612
2,1676,3.5,1084986589
2,1690,0.5,1084986459
2,1717,0.5,1084987693
2,1722,1.5,1084990393
2,1833,1.5,1084987147
2,1882,0.5,1084987689
2,1909,2.5,1084987696
2,1918,2.0,1084986806
2,1920,0.5,1084986817
2,1954,4.0,1084990376
2,1968,4.0,1084990386
2,2001,3.5,1084986436
2,2006,4.0,1084986438
2,2011,3.5,1084990365
2,2028,4.5,1084990361
2,2081,2.5,1084990382
2,2087,2.0,1084989291
2,2092,0.5,1084987139
2,2123,1.5,1084987125
2,2167,4.0,1084986466
2,2194,4.5,1084986598
2,2278,4.5,1084990368
2,2291,2.5,1084990378
2,2296,1.0,1084987131
2,2329,4.5,1084986474
2,2393,1.0,1084986782
2,2404,3.0,1084989768
2,2410,3.5,1084989760
2,2411,3.5,1084987677
2,2470,3.5,1084987657
2,2542,5.0,1084986752
2,2572,3.5,1084986483
2,2617,3.0,1084986403
2,2640,0.5,1084987661
2,2701,1.0,1084986759
2,2717,3.0,1084986763
2,2791,4.0,1084989266
2,2953,2.5,1084987629
2,2991,3.5,1084987620
2,3052,4.0,1084986452
2,3208,3.0,1084987070
2,3216,1.0,1084989715
2,3253,4.0,1084986452
2,3271,3.5,1084987073
2,3273,0.5,1084987612
2,3275,5.0,1084987066
2,3316,0.5,1084987078
2,3438,3.0,1084986722
2,3555,3.5,1084990653
2,3572,0.5,1084990071
2,3578,5.0,1084989245
2,3593,0.5,1084990647
2,3635,4.0,1084986697
2,3638,1.5,1084989685
2,3698,5.0,1084987593
2,3744,1.5,1084990640
2,3766,0.5,1084990633
2,3767,2.0,1084988892
2,3793,4.5,1084990341
2,3948,4.0,1084987569
2,3949,4.5,1084990614
2,3977,0.5,1084987582
2,3988,0.5,1084987583
2,4005,3.0,1084986994
2,4011,5.0,1084989233
2,4022,3.5,1084986413
2,4054,3.0,1084990620
2,4105,4.0,1084986972
2,4133,1.5,1084986979
2,4262,5.0,1084987559
2,4306,4.5,1084990328
2,4369,2.5,1084989644
2,4443,2.0,1084986957
2,4531,3.0,1084988873
2,4533,2.5,1084988867
2,4734,3.0,1084988545
2,4748,0.5,1084988852
2,4844,3.0,1084986938
2,4901,5.0,1084988518
2,4974,2.5,1084989602
2,4993,5.0,1084987529
2,5110,4.0,1084986942
2,5152,3.5,1084988508
2,5159,0.5,1084988837
2,5254,3.5,1084988489
2,5400,2.5,1084986925
2,5445,4.0,1084986674
2,5540,3.0,1084990564
2,5574,3.5,1084988472
2,5591,0.5,1084988467
2,5679,0.5,1084989566
2,5693,1.5,1084986923
2,5872,2.5,1084986930
2,5989,4.5,1084990548
2,6333,4.5,1084986665
2,6365,2.5,1084986667
2,6383,0.5,1084988771
2,6537,3.5,1084987933
2,6539,5.0,1084989007
2,6586,2.5,1084987925
2,6678,0.5,1084987464
2,6709,3.5,1084990533
2,6731,3.0,1084987455
2,6794,0.5,1084987462
2,6872,0.5,1084990512
2,6873,0.5,1084990508
2,6874,5.0,1084990503
2,6934,1.0,1084986906
2,6979,4.0,1084987908
2,7004,4.0,1084988753
2,7048,3.5,1084987794
2,7090,4.5,1084989948
2,7102,3.5,1084987228
2,7143,5.0,1084990494
2,7153,5.0,1084989476
2,7320,0.5,1084988731
2,7570,1.5,1084990221
2,7573,0.5,1084987774
2,7817,0.5,1084990487
3,2,3.0,844943704
3,3,4.0,844943745
3,4,5.0,844943745
3,5,5.0,844943727
3,6,4.0,844943715
3,7,4.0,844943745
3,10,3.0,844943687
3,11,5.0,844943687
3,16,3.0,844943727
3,17,3.0,844943704
3,21,4.0,844943687
3,24,4.0,844943754
3,25,5.0,844943715
3,32,4.0,844943687
3,36,3.0,844943715
3,50,3.0,844943687
3,62,5.0,844943715
3,95,4.0,844943704
3,104,4.0,844943754
3,141,5.0,844943704
3,708,3.0,844943754
3,736,3.0,844943704
3,780,4.0,844943715
4,1,5.0,938694800
4,34,5.0,938694801
4,262,4.0,938694801
4,364,4.0,938694801
4,594,3.0,938694800
4,2078,3.0,938694800
4,2096,3.0,938694800
4,2137,4.0,938694801
4,2355,4.0,938694801
5,199,1.0,1045737329
5,680,4.0,1045737329
5,772,1.0,1045737329
5,858,5.0,1045737329
5,2261,1.0,1045737329
5,3140,3.0,1045737329
5,3540,3.0,1045737329
5,4184,4.0,1045737329
5,5355,2.0,1045737329
5,6203,1.0,1045737329
6,29,2.0,1317292461
6,44,2.0,1317292298
6,181,1.0,1317293041
6,260,3.5,1317293672
6,296,2.5,1317293599
6,355,0.5,1317292352
6,546,1.5,1317292617
6,745,2.0,1317293756
6,1059,3.5,1317292402
6,1136,4.0,1317293516
6,1148,2.0,1317293755
6,1196,3.5,1317293676
6,1197,3.0,1317293594
6,1198,2.0,1317293609
6,1687,2.5,1317292698
6,1772,1.0,1317293001
6,1967,2.5,1317292482
6,2019,3.5,1317293652
6,2080,0.5,1317292336
6,2150,2.0,1317293162
6,2161,2.0,1317292341
6,2329,3.0,1317294136
6,2571,5.0,1317293494
6,2959,4.5,1317293326
6,3438,2.0,1317292677
6,3439,2.0,1317293036
6,3704,1.0,1317292642
6,4226,4.5,1317293501
6,4973,3.5,1317294132
6,4993,4.5,1317293483
6,5618,4.0,1317293666
6,5952,4.0,1317293484
6,5971,2.0,1317293548
6,7099,4.0,1317293554
6,7153,4.0,1317293477
6,85510,3.5,1317293873
7,351,4.0,1201850603
7,830,3.5,1201850365
7,1013,4.5,1201850613
7,1015,3.0,1201850765
7,1678,5.0,1201850559
7,1702,3.0,1201850675
7,2109,2.5,1201850407
7,2141,3.5,1201850600
7,2160,2.0,1201850379
7,2329,2.5,1201850849
7,2398,1.0,1201850588
7,2423,4.5,1201850462
7,2501,1.5,1201850371
7,2795,4.0,1201850445
7,2840,3.0,1201850574
7,2858,3.5,1201850844
7,3798,3.5,1201850449
7,4226,2.5,1201850932
7,4973,4.0,1201850836
7,30749,4.0,1201850910
8,48,1.0,1162240515
8,50,3.5,1162240752
8,158,1.5,1162240551
8,318,4.0,1162240960
8,745,3.5,1162241426
8,778,4.0,1162240784
8,1035,2.0,1162240544
8,1089,2.0,1162241490
8,1148,2.5,1162240546
8,2081,1.0,1162240527
8,2329,3.0,1162240756
8,2502,4.0,1162240488
8,2529,0.5,1162240576
8,2542,4.0,1162240607
8,2571,4.5,1162240775
8,2692,3.0,1162240790
8,2858,3.5,1162241439
8,2959,5.0,1162240776
8,3081,1.5,1162240592
8,3160,2.0,1162240617
8,3623,2.0,1162240484
8,4011,5.0,1162240766
8,4034,2.5,1162240497
8,4226,4.0,1162240957
8,4878,4.5,1162241442
8,4963,4.0,1162240846
8,4973,4.5,1162240969
8,4993,2.0,1162240982
8,5952,2.0,1162241496
8,5989,2.0,1162240828
8,6016,2.5,1162240952
8,6539,3.5,1162240532
8,6874,2.5,1162240621
8,7153,2.0,1162240481
8,7317,4.5,1162699267
8,7361,4.5,1162240974
8,8784,3.5,1162240836
8,30749,2.0,1162241432
8,36529,3.5,1162241355
8,38061,2.5,1162241560
8,44191,3.5,1162240788
8,44195,4.0,1162240964
8,44199,3.5,1162241236
8,44665,3.5,1162241253
8,44761,3.0,1162241255
8,45431,2.0,1162241263
9,1,4.0,864902809
9,2,4.0,864903109
9,13,3.0,864903466
9,34,5.0,864903108
9,38,4.0,864904332
9,48,3.0,864903567
